date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:52	39372/39372	---M-Z	200	added ('OK')	application/javascript	etag:%22cfc631689f236f3a0725b1c4dafd657f%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/f222f765d8ba3dfc/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/f222f765d8ba3dfc/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:03:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2008%20Sep%202022%2015:34:01%20GMT	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	/home/divyanshu/websites/construction1/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:03	328683/328683	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Aug%202022%2004:56:30%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-IN	/home/divyanshu/websites/construction1/img1.wsimg.com/poly/v3/polyfill.min6ee5.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:03	314115/314115	---M-Z	200	added ('OK')	application/javascript	etag:%22f72a36608097ca8bf021d801e3933881%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.27.1.js	/home/divyanshu/websites/construction1/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.27.1.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:15	388062/388062	---M--	200	added ('OK')	image/png	etag:1027549319	http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-2ee848e.png/:/cr=t:0%25,l:2.73%25,w:94.53%25,h:100%25/rs=w:600,h:300,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-2ee848e.png/_/cr=t_0%,l_2.73%,w_94.53%,h_100%/rs=w_600,h_300,cg_true.png	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2008%20Sep%202022%2015:34:03%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	/home/divyanshu/websites/construction1/img1.wsimg.com/traffic-assets/js/tccl.min.14.delayed	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:15	45537/45537	---M-Z	200	added ('OK')	application/javascript	etag:%22362d20193a8fed115f99b16a157b7fc4%22	https://img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	/home/divyanshu/websites/construction1/img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:17	103/103	---M-Z	200	added ('OK')	text/plain	etag:%227f92add3bae1d01:0%22	http://img1.wsimg.com/robots.txt		(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:19	35434/35434	---M--	200	added ('OK')	image/jpeg	etag:1963191158	http://img1.wsimg.com/isteam/stock/oplp8Er/:/rs=w:365,h:365,cg:true,m/cr=w:365,h:365	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/stock/oplp8Er/_/rs=w_365,h_365,cg_true,m/cr=w_365,h_365.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
21:04:21	31864/31864	---M--	200	added ('OK')	image/jpeg	etag:1539534902	http://img1.wsimg.com/isteam/stock/73291/:/rs=w:365,h:365,cg:true,m/cr=w:365,h:365	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/stock/73291/_/rs=w_365,h_365,cg_true,m/cr=w_365,h_365.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
